name,price,genre
"НэнсиДрю_СекретныеФайлы Кин К. Улыбнись и скажи ""Убийство!""/Тайны Форт-Лодердейла/Кошмар на бурных водах",595 Р,Художественная литература для школьников
"КотыДетективы_ПодарИзд Гатти А.,Морозинотто Д. Бесстрашная команда [три истории]",571 Р,Художественная литература для школьников
КласснаяКлассика Спири Й. Хайди,626 Р,Художественная литература для школьников
КласснаяКлассика Крапивин В. Дети синего фламинго,626 Р,Художественная литература для школьников
"КласснаяКлассика Во славу русского флота Рассказы о морских сражениях (Дорофеев А.,Прохватилов В.и др.)",446 Р,Художественная литература для школьников
"ДетскоеЧтение Остер Г.Б. Попался,который кусался Сказки",228 Р,Художественная литература для школьников
ДетскаяИллКлассика Андерсен Х.К. Дюймовочка Сказки (худ.Диодоров Б.),761 Р,Художественная литература для школьников
Энциклопедия(Махаон) Мир вокруг тебя Тайны мирового океана (Фланнери Т.),1216 Р,"Развивающая литература, детские энциклопедии"
"ЭнцВКомиксах Динозавры Сухопутные гиганты (Шон Р.,Уэст Д.)",807 Р,"Развивающая литература, детские энциклопедии"
"ЭнцДляДетей(АСТ) Britannica 5-минутные познават.истории д/семейного чтения (Брайдон А.,Хьюз К.и др.)",1379 Р,"Развивающая литература, детские энциклопедии"
ДетскаяЭнц(АСТ) Викинги (Агоста Л.),323 Р,"Развивающая литература, детские энциклопедии"
ГотовимРукуКПисьму(Сфера) Спец.транспорт Раскр.с прописями,50 Р,"Развивающая литература, детские энциклопедии"
ГотовимРукуКПисьму(Сфера) Лесная поляна Раскр.с прописями,50 Р,"Развивающая литература, детские энциклопедии"
ГотовимРукуКПисьму(Сфера) Морские обитатели Раскр.с прописями,50 Р,"Развивающая литература, детские энциклопедии"
ГотовимРукуКПисьму(Сфера) Динозавры Раскр.с прописями,50 Р,"Развивающая литература, детские энциклопедии"
555заданийДляДошколят Задания по англ.яз. (Дмитриева В.Г.),140 Р,"Развивающая литература, детские энциклопедии"
КнПазл(Атберг) Айболит,384 Р,Детские книжки
ЧудесныеКнДляМалышей Прокофьева С. Приключения желтого чемоданчика (худ.Соловьева Е.),570 Р,Детские книжки
ПервыеКнДляМаленьких Сутеев В.Г. Кораблик Сказки (худ.Сутеев В.Г.),238 Р,Детские книжки
Мамины сказки на ночь (Бианки В./Козлов С.и др.),662 Р,Детские книжки
ЛюбимСказкиИКартинки Сутеев В.Г. 100 картинок Маленькие сказки,1093 Р,Детские книжки
ЛучшийПраздник Ермолова Е.Л. Самый лучший Новый год!,470 Р,Детские книжки
ЛучшиеСказкиМалыша Сутеев В.Г. Елка Сказки (худ.Сутеев В.Г.),488 Р,Детские книжки
ЛучшаяДетскаяКн Маршак С.Я. Кошкин дом Сказки,511 Р,Детские книжки
"КнВиллиВинки_КнПодЕлку Востоков С.В. Новогоднее чудо, или Морозов Ха.Ха. (худ.Гаврилов С.)",595 Р,Детские книжки
МудрыеМыслиНаКаждыйДень Стоики и эпикурейцы,291 Р,"Поэзия, афоризмы, мифы"
Шарм(тв) Боумен В. Пари с герцогом,384 Р,Сентиментальная проза
ХитыNetflix Замора А. Элита На дне класса,571 Р,Сентиментальная проза
Очарование-мини Квик А. Безрассудство,144 Р,Сентиментальная проза
МирыДаниэлы(тв) Стил Д. Калейдоскоп,488 Р,Сентиментальная проза
ЛюбовьВКрасивыхДекорациях Ермолович Е. Золото и сталь,446 Р,Сентиментальная проза
"ЛегендаРуссИнтернета(тв) Дивеева Л. Тот,кто меня вернул",488 Р,Сентиментальная проза
P.S.СЛюбовью Ванлир Д. Рождественские тайны,488 Р,Сентиментальная проза
Mainstream_МегабестселлерыYoungAdult Мирез А. Идеальные лжецы,571 Р,Сентиментальная проза
"МирПриключений(Азбука) Вельскопф-Генрих Л. Изгнанники, или Топ и Харри [цикл ""Сыновья Большой Медведицы"" Кн. 2]",944 Р,Российская и зарубежная проза
БольшиеКниги(Иностранка) Хаггард Г.Р. Священный цветок/Чудовище по имени Хоу-Хоу/Она и Аллан/Сокровище озера,1104 Р,Российская и зарубежная проза
БольшиеКниги(Иностранка) Кронин А. Испанский садовник/Древо Иуды,825 Р,Российская и зарубежная проза
БольшиеКниги(Иностранка) Дюма А. Двадцать лет спустя,891 Р,Российская и зарубежная проза
БольшиеКниги(Иностранка) Кизи К. Порою блажь великая,848 Р,Российская и зарубежная проза
ТаСторона Акунин Б.(Борисова А.) Vremena Goda,778 Р,Российская и зарубежная проза
МолодежныеХиты Мирай М. Школония,511 Р,Российская и зарубежная проза
Кетро М. Искала я милого моего,488 Р,Российская и зарубежная проза
ДругаяЛюбовь Блайт Г. Amo,488 Р,Российская и зарубежная проза
БольшиеКниги_РусскаяЛитература Довлатов С. Компромисс/Иностранка/Чемодан/Наши,891 Р,Российская и зарубежная проза
"ФэнтезиБестселлеры Вудворт Ф. Подарок от купидона Ничего,позже поблагодаришь! [цикл ""Подаренные жены [к Дню святого Валентина]""]",446 Р,"Фантастика, фэнтези, мистика"
"НеобыкновеннаяМагия Вонсович Б. Гимназистка Нечаянное турне [цикл ""Ильинск"" Кн. 2]",446 Р,"Фантастика, фэнтези, мистика"
"ЛюбовьВнеземная Косухина Н.В.,Шкутова Ю.Г. Звездный выбор Спасти императора [цикл ""Звездная сага"" Кн. 2]",446 Р,"Фантастика, фэнтези, мистика"
"ДругиеМиры(тв) Марей С. Попаданка в деле, или Ваш любимый доктор [Цикл ""Врачи-попаданки"" Кн. 1]",446 Р,"Фантастика, фэнтези, мистика"
ДругаяРеальность Замировская Т.М. Земля случайных чисел,696 Р,"Фантастика, фэнтези, мистика"
ВолшебнаяАкадемия Любимка Н. Академия ХИЛТ 1. Черный феникс,446 Р,"Фантастика, фэнтези, мистика"
ГрафичРоман(Азбука)(тв) Naruto Наруто Кн. 8 Перерождение (Масаси Кисимото),997 Р,Комиксы и манга
"ЭксклюзивнаяКлассика-мини Герберт Ф. Бог-Император Дюны [цикл ""Хроники Дюны"" Кн. 4]",299 Р,"Фантастика, фэнтези, мистика"
МастераФэнтези Симмонс Д. Мерзость,1142 Р,"Фантастика, фэнтези, мистика"
BigHistory Булл-Хансен Б.А. Йомсвикинг [Кн. 1],904 Р,"Фантастика, фэнтези, мистика"
СвиданиеСоСмертью Дэй Э. Сорока,571 Р,Детективы. Остросюжетная литература
НовыйМистичТриллер Баблиц Ж. Прежде чем ты узнаешь мое имя,654 Р,Детективы. Остросюжетная литература
"NeoclassicТриллер Бекетт С. Там,где дым",511 Р,Детективы. Остросюжетная литература
"МодаTRUESTORY Жондо С., Муза В. Как дела, дорогой Карл? Откровенные мемуары телохранителя Карла Лагерфельда, (Эксмо,ОДРИ, 2022), 7Б, c.304",727 Р,Художественно-документальная проза
"Хольст К. Убийство у синего моря (+QR-код для аудио), (Эксмо,INSPIRIA, 2022), 7Б, c.320",559 Р,Художественная литература
"СтоличныйДетектив-м Степанова Т.Ю. Грехи и мифы Патриарших прудов, (Эксмо, 2022), Обл, c.384",211 Р,Художественная литература
"ТайнаяГвардияБерии-м Тамоников А.А. Человек с двойным лицом, (Эксмо, 2022), Обл, c.320",193 Р,Художественная литература
"ТаинственныйДетектив-м Князева А. Монета скифского царя, (Эксмо, 2022), Обл, c.288",201 Р,Художественная литература
"ПреступныеКамниЛучшиеДетективыОДрагоценностях-м Горская Е. Карма несказанных слов, (Эксмо, 2022), Обл, c.320",211 Р,Художественная литература
"РоманыОВеликойОтечественнойВойне-м Тамоников А.А. Ночная война (от ветерана Советской армии), (Эксмо, 2022), Обл, c.320",193 Р,Художественная литература
"Пономарева П. Не за что, а для чего, (Эксмо, 2022), 7Б, c.288",517 Р,Художественная литература
"НастоящийСоветскийДетектив-м(эконом) Сорокин Г.Г. Кочевая кровь, (Эксмо, 2022), Обл, c.416",211 Р,Художественная литература
"КоролиГородскихОкраин Шарапов В.Г. Короли городских окраин (послевоенный криминальный роман), (Эксмо, 2022), 7Б, c.320",475 Р,Художественная литература
"ДетективСильныхСтрастей-м Бачинская И.Ю. Пропасть смотрит в тебя, (Эксмо, 2022), Обл, c.320",211 Р,Художественная литература
"ДетективСобытие-м Михайлова Е. Окна в облаках, (Эксмо, 2022), Обл, c.320",211 Р,Художественная литература
"ДетективЛабиринт-м Велес А. Дело о Красной Шапочке, (Эксмо, 2022), Обл, c.288",211 Р,Художественная литература
"ОстровСтертых Симпсон Д. Стиратели памяти, (Эксмо, 2022), 7Б, c.320",433 Р,Детские книжки
"ДомТьмы Дьюга Л. Призрак в свете фар, (Эксмо, 2022), 7Б, c.288",433 Р,Детские книжки
"Арсеньева Е.А. Большая книга ужасов-87, (Эксмо, 2022), 7Бц, c.384",451 Р,Детские книжки
"DisneyИграйСУмом Самые умные игры и задачи, (Эксмо,Детство, 2022), Обл, c.64",409 Р,Детские книжки
НастяИНикита(о) Земля Планета воды (Ткаченко А.),301 Р,"Развивающая литература, детские энциклопедии"
УчисьИграйРазвивайся 3в1 Синий трактор Счет [+накл.],103 Р,"Развивающая литература, детские энциклопедии"
УчисьИграйРазвивайся 3в1 Синий трактор Цвета и формы [+накл.],103 Р,"Развивающая литература, детские энциклопедии"
УчисьИграйРазвивайся 3в1 Синий трактор Животные [+накл.],103 Р,"Развивающая литература, детские энциклопедии"
УчисьИграйРазвивайся 3в1 Синий трактор Азбука [+накл.],103 Р,"Развивающая литература, детские энциклопедии"
Прописи(Умка) ПоМатематикеСЗаданиями Цифры от 1 до 10 (Шевелев К.А.),23 Р,"Развивающая литература, детские энциклопедии"
Прописи(Умка) ПоМатематикеСЗаданиями Соединяем по цифрам от 1 до 20 (Шевелев К.А.),23 Р,"Развивающая литература, детские энциклопедии"
Прописи(Умка) ПоМатематикеСЗаданиями Цифры от 1 до  5 (Шевелев К.А.),23 Р,"Развивающая литература, детские энциклопедии"
Прописи(Умка) ПоМатематикеСЗаданиями Соединяем по цифрам от 1 до 10 (Шевелев К.А.),23 Р,"Развивающая литература, детские энциклопедии"
Прописи(Умка) ПоМатематикеСЗаданиями Рисуем по клеточкам Нач.уровень (Шевелев К.А.),23 Р,"Развивающая литература, детские энциклопедии"
Прописи(Умка) ПоМатематикеСЗаданиями Рисуем по клеточкам [продв.уровень] (Шевелев К.А.),23 Р,"Развивающая литература, детские энциклопедии"
КнСКрупнымиБуквами(Умка) Степанов В.А. Малышкина азбука,249 Р,"Развивающая литература, детские энциклопедии"
КнСКрупнымиБуквами(Умка) Степанов В.А. Азбука машинок,249 Р,"Развивающая литература, детские энциклопедии"
Кн.карт(Умка) КнСГлазками Кошкин дом,84 Р,Детские книжки
Кн.карт(Линг)_А5 Топотушки (Александрова З.Н.),64 Р,Детские книжки
Кн.карт(Линг)_А5 Рукавичка (худ.Бондаренко М.),64 Р,Детские книжки
Кн.карт(Линг)_А5 Подумай и сравни (Дружинина М.В.),64 Р,Детские книжки
Кн.карт(Линг)_А5 Полезные машины (худ.Исматуллаев Р.А.),64 Р,Детские книжки
Кн.карт(Линг)_А5 Дедка Ермолай (худ.Новикова Ю.),64 Р,Детские книжки
ЧитаемПоСлогам_А5 Андерсен Г.Х. Дюймовочка Сказки [Крупный шрифт/Слова с ударениями],188 Р,Детские книжки
СказкиМалышам(Умка)(о) Чуковский К.И. Айболит,20 Р,Детские книжки
СказкиМалышам(Умка)(о) Чуковский К.И. Мойдодыр,20 Р,Детские книжки
СказкиМалышам(Умка)(о) Ушинский К.Д. Колобок,18 Р,Детские книжки
СказкиМалышам(Умка)(о) Три поросенка,18 Р,Детские книжки
СказкиМалышам(Умка)(о) Толстой Л.Н. Три медведя,18 Р,Детские книжки
СказкиМалышам(Умка)(о) Пушкин А.С. Сказка о рыбаке и рыбке,18 Р,Детские книжки
СказкиМалышам(Умка)(о) Толстой А.Н. Репка,18 Р,Детские книжки
СказкиМалышам(Умка)(о) Маша и Медведь,18 Р,Детские книжки
КнПолнаяСчастья  Брагинец Н. Приключения Единорога Лучика и его друзей,152 Р,Детские книжки
Фрай С. Теннисные мячики небес,956 Р,Российская и зарубежная проза
Стиббе Н. Райский уголок,892 Р,Российская и зарубежная проза
"Сильванова К.,Малисова Е. О чем молчит ласточка",826 Р,Российская и зарубежная проза
"MainstreamФэнтези Пирсон М.Э. Танец воров, (АСТ, 2022), 7Б, c.576",732 Р,"Фантастика, фэнтези, мистика"
"Снегурочка. Зимние сказки (сборник), (АСТ,Малыш, 2022), 7Бц, c.80",605 Р,Детские книжки
"ЭнциклопедияДляПервогоЧтения Животные (с крупными буквами) (Гальцева С.Н.,Клюшник Л.В.), (Росмэн/Росмэн-Пресс, 2022), 7Б, c.64",332 Р,"Развивающая литература, детские энциклопедии"
"ЭнциклопедияДляПервогоЧтения Техника (с крупными буквами) (Чернецов-Рождественский С.Г.,Клюшник Л.В.), (Росмэн/Росмэн-Пресс, 2022), 7Б, c.64",332 Р,"Развивающая литература, детские энциклопедии"
"СборникиСказок Барсотти Э. Принцессы. Все любимые сказки, (Росмэн/Росмэн-Пресс, 2022), 7Б, c.48",415 Р,Детские книжки
"Пандемониум Гаглоев Е. Кн.13 Тьма в твоих глазах, (Росмэн/Росмэн-Пресс, 2022), 7Б, c.400",363 Р,Детские книжки
"Зигнер И. Дракончик Кокоша и ученик чародея, (АСТ,Малыш, 2022), 7Бц, c.72",581 Р,Детские книжки
"ВинниПухИВсеВсеВсе Риордан Дж. Винни-Пух. Жил-был мишка. А начиналось все так..., (Росмэн/Росмэн-Пресс, 2022), 7Б, c.128",664 Р,Детские книжки
"ВнеклассноеЧтение Крапивин В.П. Мушкетер и фея, (Росмэн/Росмэн-Пресс, 2022), 7Б, c.192",232 Р,Детские книжки
"ВселеннаяГарриПоттера Бопп Л. Удивительные факты о мире Гарри Поттера, (АСТ, 2022), 7Бц, c.176",412 Р,Детские книжки
ЧтениеЛучшееУчение Короленко В. Дети подземелья,172 Р,Художественная литература для школьников
"ВеселаяПеременка Постников В. Веселые приключения в 3 ""Б""",711 Р,Художественная литература для школьников
ВеселаяКомпания(Махаон) Дружинина М. Это наш веселый класс! Рассказы,614 Р,Художественная литература для школьников
ЧитаемСами(Вакоша) Толстой Л.Н. Филипок Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Раскин А.Б. Как папа писал два сочинения Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Постников В. Школьный завтрак Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Раскин А.Б. Как папа опаздывал Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Постников В. Урок истории Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Постников В. Задачка по математике Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Осеева В.А. Волшебное слово Рассказы д/самостоятельного чтения,89 Р,Детские книжки
ЧитаемСами(Вакоша) Пантелеев Л. Честное слово Рассказы д/самостоятельного чтения,89 Р,Детские книжки
БольшаяКн(Махаон) Носов Н.Н. Незнайка на Луне (худ.Борисов А.),1270 Р,Детские книжки
Торн С.(Иностранка)-мини Второе первое впечатление,215 Р,Российская и зарубежная проза
АзбукаКлассика(о) Кабре Ж. Я исповедуюсь,330 Р,Российская и зарубежная проза
АзбукаБестселлер(тв) Моруа А. Письма незнакомке,517 Р,Российская и зарубежная проза
TheBigBook(тв) Маццола А. Заводная девушка,690 Р,Российская и зарубежная проза
ГрафичРоман(Азбука)(тв) Роковой Патруль Кн. 1 (Моррисон Г.),1784 Р,Комиксы и манга
ГрафичРоман(Азбука)(тв) Бэтмен и сын (Моррисон Г.),2044 Р,Комиксы и манга
ГрафичРоман(Азбука)(о) Злодеи Готэма (Де Вито Д.) [юбил.спецвыпуск],421 Р,Комиксы и манга
"ЗвездыНовойФантастики Симмонс Д. Илион [дилогия ""Троя"" Кн. 1]",849 Р,"Фантастика, фэнтези, мистика"
МирПриключений(Азбука) Леблан М. Преступления Арсена Люпена,944 Р,Детективы. Остросюжетная литература
ЗвездыМировогоДетектива(тв) Коннелли М. Ловушка для адвоката,690 Р,Детективы. Остросюжетная литература
АзбукаКлассика(о) Сименон Ж. Три комнаты на Манхэттене,215 Р,Детективы. Остросюжетная литература
"Ты такой,какой есть… (Клер О.;худ.Бордиккья Г.)",732 Р,Детские книжки
